"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Muse","Harper","M","1","Barrett","209.50159","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Supermassive Black Hole (Twilight Soundtrack Version)","42"
"Beastie Boys","Harper","M","2","Barrett","161.56689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Lighten Up","42"
"Shakira","Harper","M","3","Barrett","145.84118","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Pienso En Ti","42"
"Selena","Harper","M","4","Barrett","172.66893","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Amor Prohibido","42"
"Kid Cudi Vs Crookers","Harper","M","5","Barrett","162.97751","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Day 'N' Nite","42"
"Rise Against","Harper","M","6","Barrett","179.59138","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Black Masks & Gasoline","42"
"Fall Out Boy","Harper","M","7","Barrett","211.69587","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You)","42"
"Jack Johnson","Harper","M","8","Barrett","196.12689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Staple It Together","42"
"Twista feat. Kayne West & Jamie Foxx","Harper","M","9","Barrett","212.55791","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version)","42"
"Train","Harper","M","10","Barrett","216.76363","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Hey_ Soul Sister","42"
"Rihanna","Harper","M","11","Barrett","293.82485","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Rehab","42"
"Man Man","Harper","M","12","Barrett","222.45832","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Van Helsing Boombox","42"
"Ween","Harper","M","13","Barrett","276.13995","paid","New York-Newark-Jersey City, NY-NJ-PA","275","The Stallion","42"
"Charttraxx Karaoke","Harper","M","14","Barrett","225.17506","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Fireflies","42"
"Digitalism","Harper","M","15","Barrett","208.24771","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I Want I Want","42"
"Dispatch","Harper","M","16","Barrett","247.50975","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Railway","42"
"Postal Service","Harper","M","17","Barrett","294.47791","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Clark Gable (Album)","42"
"Patricia Barber","Harper","M","18","Barrett","317.83138","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Phaeton","42"
"Enur","Harper","M","19","Barrett","203.4673","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Ucci Ucci feat. Nicki Minaj & The Chopper City Boyz","42"
"Hybrid","Harper","M","20","Barrett","379.61098","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Choke","42"
"Riverside","Harper","M","21","Barrett","236.2771","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Stuck Between","42"
"Enigma","Harper","M","22","Barrett","272.48281","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Smell Of Desire.","42"
"Arcade Fire","Harper","M","23","Barrett","267.80689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Headlights Look Like Diamonds","42"
"Spoon","Harper","M","25","Barrett","274.36363","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Out Go The Lights","42"
"The Wannadies","Harper","M","26","Barrett","170.86649","paid","New York-Newark-Jersey City, NY-NJ-PA","275","You & Me Song","42"
"Tricky","Harper","M","27","Barrett","261.43302","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Girls (Album version)","42"
"Tony Rice","Harper","M","28","Barrett","321.98485","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Wayfaring Stranger","42"
"Rasheeda","Harper","M","29","Barrett","212.40118","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Sweep The Flo (Featuring Diamond)","42"
"George Younce","Harper","M","30","Barrett","191.68608","paid","New York-Newark-Jersey City, NY-NJ-PA","275","This Old House w/ When The Saints Medley","42"
"Alex Gopher","Harper","M","31","Barrett","221.6224","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Brain Leech","42"
"Aphex Twin","Harper","M","32","Barrett","430.18404","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Didgeridoo","42"
"Emmanuel Moire","Harper","M","33","Barrett","277.08036","paid","New York-Newark-Jersey City, NY-NJ-PA","275","LÃÂ  OÃÂ¹ Je Pars","42"
"Josh Turner","Harper","M","34","Barrett","212.16608","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I Wouldn't Be A Man","42"
"Carlos Y JosÃÂ©","Chloe","F","0","Cuevas","166.45179","free","San Francisco-Oakland-Hayward, CA","336","Soy AlbaÃÂ±il","49"
"Motionless in White","Cecilia","F","0","Owens","217.57342","free","Atlanta-Sandy Springs-Roswell, GA","288","Ghost In The Mirror","6"
"Feist","Layla","F","0","Griffin","184.94649","paid","Lake Havasu City-Kingman, AZ","395","My Moon My Man","24"
"Postal Service","Tegan","F","0","Levine","300.53832","paid","Portland-South Portland, ME","398","We Will Become Silhouettes (Album)","80"
